name,x,y
New YorkNY,1822127.113596562,562318.9458500007
Los AngelesCA,-2051464.582873303,-116016.63514999952
ChicagoIL,663475.8326507246,527024.8052000008
HoustonTX,70431.28678264811,-884232.7359999997
PhiladelphiaPA,1743998.6559550404,463184.68010000046
PhoenixAZ,-1479765.4258361112,-340776.8641499991
San AntonioTX,-278550.37157516065,-887578.6146499983
San DiegoCA,-1947028.1831441498,-314161.6821499993
DallasTX,-88018.56577653541,-509511.07099999953
HonoluluHI,-6135149.702760559,309235.27670000144
San JoseCA,-2240100.8392973477,285246.919500001
JacksonvilleFL,1365502.7542511655,-693589.1947499997
IndianapolisIN,840089.7145585436,280382.2728000004
San FranciscoCA,-2275390.119539845,362386.32515000086
AustinTX,-186401.9933849434,-820061.8758999998
ColumbusOH,1095941.167786574,343922.4725000018
Fort WorthTX,-151976.66381754866,-534350.5142500002
CharlotteNC,1369916.5842432338,-169691.58834999916
DetroitMI,1040881.1929214688,611524.3604499998
El PasoTX,-991990.0296935062,-574308.6797000011
MemphisTN,557143.6658635333,-240618.31414999836
BaltimoreMD,1638413.8871042873,372428.7423999999
BostonMA,2018377.6766540129,795271.5156499997
SeattleWA,-1973067.0699587287,1393052.6176499997
WashingtonDC,1618567.0392423428,324559.71630000067
NashvilleTN,831600.0207784979,-93896.09079999896
DenverCO,-745383.7016285572,287518.75704999943
LouisvilleKY,896412.5945011766,131883.61815000093
MilwaukeeWI,646899.5557573445,654440.113450001
PortlandOR,-2054873.3355652662,1185411.5728999996
Las VegasNV,-1710607.9679290848,28927.95315000089
Oklahoma CityOK,-140435.99041724013,-214710.36064999993
AlbuquerqueNM,-947854.2672499439,-216473.95774999913
TucsonAZ,-1381294.8797331117,-478534.66339999996
FresnoCA,-2096282.3261151516,197184.64794999966
SacramentoCA,-2182187.2864503404,408274.5221999998
Long BeachCA,-2014392.876565007,-184530.37350000045
Kansas CityMO,132601.62243163015,168076.85209999979
MesaAZ,-1434925.3338151283,-344707.1837499989
Virginia BeachVA,1734246.0571213758,105914.79965000018
AtlantaGA,1057083.9717632765,-343586.4709500002
Colorado SpringsCO,-746978.2130921988,186982.1751999997
OmahaNE,-4374.293683475245,419232.24760000105
RaleighNC,1533814.9994417536,-30514.18030000059
MiamiFL,1591704.209794691,-1174866.3280999996
ClevelandOH,1191926.9428899083,544719.9230499999
TulsaOK,7739.4117026313525,-163667.88275000127
OaklandCA,-2254719.4504184467,356082.6136500016
MinneapolisMN,215072.14658775588,841332.0100999991
WichitaKS,-113868.8309813283,20488.68485000101
ArlingtonTX,-104669.84735941152,-531013.2444500001
BakersfieldCA,-2058153.6558727892,11691.82250000001
New OrleansLA,573670.8182461434,-822075.5452500001
AnaheimCA,-1994186.867692429,-176534.7160999989
TampaFL,1306728.7495283457,-972624.4593999994
AuroraCO,-745383.7016285572,287518.75704999943
Santa AnaCA,-1997257.2352987803,-187710.55035000015
St. LouisMO,492200.00637244456,138903.72495000204
PittsburghPA,1341696.1499733678,444859.05659999955
Corpus ChristiTX,-156879.75184941432,-1076629.6426999997
RiversideCA,-1940144.6003646166,-167660.40249999985
CincinnatiOH,993181.8219723953,244993.39879999962
LexingtonKY,995492.2994715937,119099.07745000161
AnchorageAK,-3049760.1278968183,3479812.9306
StocktonCA,-2173914.243783671,329165.206100001
ToledoOH,1024003.612504062,529072.7879000003
St. PaulMN,225462.86406780715,842463.7864499991
NewarkNJ,1812752.617708399,573083.5037000005
GreensboroNC,1433614.884036494,-37528.02629999956
BuffaloNY,1383974.9754717425,733405.8920000002
PlanoTX,-70514.37214152413,-500676.496049999
LincolnNE,-54872.60868841498,369040.0931500008
HendersonNV,-1693147.625387039,1717.7363000004552
Fort WayneIN,901024.5898527266,454489.5033499999
Jersey CityNJ,1818697.74122144,567933.3090000022
St. PetersburgFL,1312346.4096605647,-982590.7964500007
Chula VistaCA,-1941388.0168310425,-326532.92084999965
NorfolkVA,1727978.0898111605,105315.60455000121
OrlandoFL,1427681.8374933952,-883059.2090499981
ChandlerAZ,-1451619.8314707214,-353411.68229999905
LaredoTX,-346375.2482443298,-1115317.9048500014
MadisonWI,527729.4776416293,636619.2086999996
Winston-SalemNC,1413752.2691727579,-42800.51334999851
LubbockTX,-536314.2473770595,-412850.31124999945
Baton RougeLA,467067.6256577021,-775669.2435500005
DurhamNC,1523920.349162201,-31738.52340000053
GarlandTX,-53745.138380825265,-507170.28315000003
GlendaleAZ,-1487008.4359276055,-319209.17335000006
RenoNV,-2005492.6576616503,471411.88065000135
HialeahFL,1582038.7740017558,-1163420.6623999998
ChesapeakeVA,1734246.0571213758,105914.79965000018
ScottsdaleAZ,-1464233.9962240441,-326091.1268499985
North Las VegasNV,-1700017.2060182092,31731.434400001308
IrvingTX,-92754.11514717163,-517287.93039999984
FremontCA,-2242013.691903158,302856.9089999988
IrvineCA,-1995963.9433377585,-203194.3175999988
BirminghamAL,815416.0854263013,-392897.6009499992
RochesterNY,1475325.4949892992,779638.4116000009
San BernardinoCA,-1934066.6897694587,-165444.94235000084
SpokaneWA,-1607659.8010361372,1317975.3587500006
